,Unnamed: 0,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name,commercial.shopping_mall Name
23,31,Abbotsford,6/219 Nicholson St,500000,-37.8015,144.9972,u,2.5,Yarra,Yes,Yes
24,32,Abbotsford,52a William St,1100000,-37.8079,144.9977,h,2.5,Yarra,Yes,Yes
25,33,Abbotsford,49 Park St,1315000,-37.808,144.994,h,2.5,Yarra,Yes,Yes
26,36,Abbotsford,5/20 Abbotsford St,426000,-37.8016,144.9988,u,2.5,Yarra,Yes,Yes
27,37,Abbotsford,48 Abbotsford St,1447500,-37.8017,145.0001,h,2.5,Yarra,Yes,Yes
28,38,Abbotsford,116/56 Nicholson St,457000,-37.8078,144.9965,u,2.5,Yarra,Yes,Yes
29,39,Abbotsford,159 Park St,1135000,-37.8005,144.9952,h,2.5,Yarra,Yes,Yes
30,41,Abbotsford,31 Turner St,1542000,-37.7994,144.9965,h,2.5,Yarra,Yes,Yes
31,43,Abbotsford,166 Gipps St,1290000,-37.805,144.9943,h,2.5,Yarra,Yes,Yes
32,44,Abbotsford,60 Stafford St,1290000,-37.8007,144.9958,h,2.5,Yarra,Yes,Yes
33,45,Abbotsford,11/205 Gipps St,470000,-37.8055,144.9961,u,2.5,Yarra,Yes,Yes
34,46,Abbotsford,47 Studley St,1180000,-37.8016,144.9956,h,2.5,Yarra,Yes,Yes
35,47,Abbotsford,45 Yarra St,1195000,-37.8022,144.9954,h,2.5,Yarra,Yes,Yes
36,48,Abbotsford,200 Nicholson St,1012500,-37.8021,144.9976,h,2.5,Yarra,Yes,Yes
37,50,Abbotsford,27 Charles St,1030000,-37.8086,144.9946,h,2.5,Yarra,Yes,Yes
38,117,Albert Park,105 Kerferd Rd,1275000,-37.8459,144.9555,h,3.3,Port Phillip,Not found,Yes
39,118,Albert Park,85 Richardson St,1455000,-37.845,144.9538,h,3.3,Port Phillip,Not found,Yes
40,119,Albert Park,112 Beaconsfield Pde,2850000,-37.8481,144.9499,h,3.3,Port Phillip,Not found,Yes
41,120,Albert Park,94 Graham St,1850000,-37.8452,144.9488,h,3.3,Port Phillip,Not found,Yes
42,121,Albert Park,396 Montague St,1436000,-37.8431,144.9565,h,3.3,Port Phillip,Not found,Yes
43,122,Albert Park,75 Graham St,1110000,-37.8444,144.9484,h,3.3,Port Phillip,Not found,Yes
44,123,Albert Park,54 Brooke St,1550000,-37.8405,144.9521,h,3.3,Port Phillip,Not found,Yes
45,124,Albert Park,104 Richardson St,2300000,-37.8447,144.9523,h,3.3,Port Phillip,Not found,Yes
46,125,Albert Park,4a Mills St,1550000,-37.8443,144.9598,t,3.3,Port Phillip,Not found,Yes
47,126,Albert Park,1 Moubray St,1800000,-37.8415,144.952,h,3.3,Port Phillip,Not found,Yes
48,128,Albert Park,29 Faussett St,2120000,-37.8422,144.9554,h,3.3,Port Phillip,Not found,Yes
49,129,Albert Park,3 Herbert St,1800000,-37.8443,144.9579,h,3.3,Port Phillip,Not found,Yes
50,130,Albert Park,24 Kerferd Pl,1800000,-37.8421,144.9571,h,3.3,Port Phillip,Not found,Yes
51,131,Albert Park,44 Draper St,1810000,-37.8379,144.9539,h,3.3,Port Phillip,Not found,Yes
52,132,Albert Park,2 Dundas Pl,2615000,-37.8415,144.9585,h,3.3,Port Phillip,Not found,Yes
53,133,Albert Park,23 Finlay St,2100000,-37.8436,144.9557,h,3.3,Port Phillip,Not found,Yes
54,134,Albert Park,31 Richardson St,1300000,-37.8422,144.949,h,3.3,Port Phillip,Not found,Yes
55,135,Albert Park,4a Gatehouse La,1370000,-37.8451,144.9511,h,3.3,Port Phillip,Not found,Yes
56,136,Albert Park,60 Brooke St,1000000,-37.8407,144.9523,h,3.3,Port Phillip,Not found,Yes
57,137,Albert Park,70 Barrett St,2575000,-37.8445,144.9501,h,3.3,Port Phillip,Not found,Yes
58,138,Albert Park,65 Graham St,1322500,-37.8443,144.9481,h,3.3,Port Phillip,Not found,Yes
59,139,Albert Park,364 Montague St,1562500,-37.8424,144.9562,h,3.3,Port Phillip,Not found,Yes
60,140,Albert Park,86 Mills St,2000000,-37.847,144.9575,h,3.3,Port Phillip,Not found,Yes
61,141,Albert Park,129 Kerferd Rd,1900000,-37.8468,144.9546,h,3.3,Port Phillip,Not found,Yes
62,142,Albert Park,97 Page St,3010000,-37.8473,144.9551,h,3.3,Port Phillip,Not found,Yes
63,143,Albert Park,55 Withers St,2800000,-37.8467,144.9475,h,3.3,Port Phillip,Not found,Yes
64,144,Albert Park,10/140 Kerferd Rd,647000,-37.846,144.9542,u,3.3,Port Phillip,Not found,Yes
65,145,Albert Park,55 Merton St,2100000,-37.8427,144.9546,h,3.3,Port Phillip,Not found,Yes
66,146,Albert Park,49 Page St,2000000,-37.8461,144.9528,h,3.3,Port Phillip,Not found,Yes
67,147,Albert Park,13/52 Moubray St,442500,-37.8421,144.9517,u,3.3,Port Phillip,Not found,Yes
68,148,Albert Park,115 Page St,4735000,-37.8477,144.9558,h,3.3,Port Phillip,Not found,Yes
69,149,Albert Park,32 Page St,1340000,-37.846,144.9517,h,3.3,Port Phillip,Not found,Yes
70,150,Albert Park,34 Richardson St,1801000,-37.8429,144.9493,h,3.3,Port Phillip,Not found,Yes
71,151,Albert Park,2b Dundas Pl,1532000,-37.8415,144.9585,h,3.3,Port Phillip,Not found,Yes
72,152,Albert Park,22 Greig St,3755000,-37.8413,144.95,h,3.3,Port Phillip,Not found,Yes
73,153,Albert Park,27 Barrett St,2140000,-37.8434,144.9495,h,3.3,Port Phillip,Not found,Yes
74,155,Albert Park,44 Greig St,1750000,-37.8416,144.9488,h,3.3,Port Phillip,Not found,Yes
75,156,Albert Park,6 Brooke St,980000,-37.8387,144.9519,h,3.3,Port Phillip,Not found,Yes
76,157,Albert Park,227a Danks St,2030000,-37.8488,144.9551,h,3.3,Port Phillip,Not found,Yes
77,158,Albert Park,17 Reed St,1740000,-37.8448,144.9453,h,3.3,Port Phillip,Not found,Yes
78,159,Albert Park,74 Bridport St,2800000,-37.8399,144.9577,h,3.3,Port Phillip,Not found,Yes
79,160,Albert Park,9 Durham St,985000,-37.8411,144.9497,h,3.3,Port Phillip,Not found,Yes
80,2209,Carlton North,527 Nicholson St,1330000,-37.7871,144.9766,h,3.2,Yarra,Yes,Yes
81,2210,Carlton North,593 Canning St,1540000,-37.7821,144.9753,h,3.2,Yarra,Yes,Yes
82,2211,Carlton North,112 Newry St,1425000,-37.7893,144.9696,h,3.2,Yarra,Yes,Yes
83,2212,Carlton North,122 Richardson St,1725000,-37.7844,144.972,h,3.2,Yarra,Yes,Yes
84,2213,Carlton North,632 Rathdowne St,1280000,-37.7824,144.9733,h,3.2,Yarra,Yes,Yes
85,2214,Carlton North,989 Drummond St,2950000,-37.7811,144.9715,h,3.2,Yarra,Yes,Yes
86,2215,Carlton North,700 Rathdowne St,2175000,-37.7808,144.9736,h,3.2,Yarra,Yes,Yes
87,2217,Carlton North,2/872 Drummond St,765000,-37.784,144.9715,t,3.2,Yarra,Yes,Yes
88,2218,Carlton North,1 Fletcher La,800000,-37.7852,144.9719,h,3.2,Yarra,Yes,Yes
89,2219,Carlton North,173 MacPherson St,1301000,-37.786,144.9704,h,3.2,Yarra,Yes,Yes
90,2220,Carlton North,967 Drummond St,2718000,-37.7816,144.9714,h,3.2,Yarra,Yes,Yes
91,2221,Carlton North,9/823 Rathdowne St,468000,-37.7851,144.9723,u,3.2,Yarra,Yes,Yes
92,2222,Carlton North,392 Station St,2400000,-37.7875,144.9759,h,3.2,Yarra,Yes,Yes
93,2223,Carlton North,122 Amess St,2210000,-37.7847,144.9741,h,3.2,Yarra,Yes,Yes
94,2224,Carlton North,40 Ogrady St,1330000,-37.7904,144.9726,h,3.2,Yarra,Yes,Yes
95,2225,Carlton North,1018 Drummond St,2520000,-37.7805,144.9721,h,3.2,Yarra,Yes,Yes
96,2226,Carlton North,354 Station St,1214000,-37.7885,144.9757,h,3.2,Yarra,Yes,Yes
97,2227,Carlton North,462 Canning St,1955000,-37.786,144.9751,h,3.2,Yarra,Yes,Yes
98,2228,Carlton North,26/174 Lee St,390000,-37.7907,144.9691,u,3.2,Yarra,Yes,Yes
99,2229,Carlton North,119 Curtain St,885000,-37.7888,144.9698,h,3.2,Yarra,Yes,Yes
100,2230,Carlton North,75 Fenwick St,2050000,-37.7879,144.9736,h,3.2,Yarra,Yes,Yes
101,2231,Carlton North,16 Fenwick St,910000,-37.7879,144.9759,h,3.2,Yarra,Yes,Yes
102,2232,Carlton North,658 Lygon St,880000,-37.7911,144.9688,h,3.2,Yarra,Yes,Yes
103,2233,Carlton North,292 Amess St,1950000,-37.7804,144.9748,h,3.2,Yarra,Yes,Yes
104,2234,Carlton North,167 Richardson St,1280000,-37.7846,144.9704,h,3.2,Yarra,Yes,Yes
105,2235,Carlton North,14/1102 Lygon St,437000,-37.7798,144.9707,u,3.2,Yarra,Yes,Yes
106,2236,Carlton North,984 Lygon St,1150000,-37.7828,144.9702,h,3.2,Yarra,Yes,Yes
107,2237,Carlton North,4 Mary St,520000,-37.7813,144.9773,u,3.2,Yarra,Yes,Yes
108,2240,Carlton North,24/635 Drummond St,570000,-37.7902,144.97,u,3.2,Yarra,Yes,Yes
109,2474,Clifton Hill,60a Hodgkinson St,1270000,-37.7902,144.9894,h,3.4,Yarra,Yes,Not found
110,2476,Clifton Hill,66 Noone St,780000,-37.7934,144.9922,h,3.4,Yarra,Yes,Yes
111,2477,Clifton Hill,13 Caroline St,1060000,-37.7899,144.9984,h,3.4,Yarra,Yes,Not found
112,2478,Clifton Hill,3/68 Noone St,930000,-37.7934,144.9923,t,3.4,Yarra,Yes,Yes
113,2479,Clifton Hill,86 Hodgkinson St,1420000,-37.7898,144.9903,h,3.4,Yarra,Yes,Not found
114,2480,Clifton Hill,119 Roseneath St,1075000,-37.7928,144.9987,h,3.4,Yarra,Yes,Yes
115,2481,Clifton Hill,85 Roseneath St,1105000,-37.7927,144.9981,h,3.4,Yarra,Yes,Yes
116,2482,Clifton Hill,413a Wellington St,1209000,-37.7919,144.9884,h,3.4,Yarra,Yes,Not found
117,2483,Clifton Hill,32 Caroline St,3010000,-37.7897,144.9992,h,3.4,Yarra,Yes,Not found
118,2484,Clifton Hill,17 Myrtle St,1435000,-37.7918,144.997,h,3.4,Yarra,Yes,Yes
119,2485,Clifton Hill,12 Kiewa St,1417000,-37.7924,145.0002,h,3.4,Yarra,Yes,Yes
120,2486,Clifton Hill,40 Myrtle St,1290000,-37.7912,144.9967,h,3.4,Yarra,Yes,Not found
121,2487,Clifton Hill,195 Gold St,1226000,-37.7917,144.9902,h,3.4,Yarra,Yes,Not found
122,2488,Clifton Hill,3/30 Edmund St,495000,-37.7875,145.0049,u,3.4,Yarra,Yes,Yes
123,2489,Clifton Hill,4/56 John St,325000,-37.7873,144.9958,u,3.4,Yarra,Yes,Not found
124,2490,Clifton Hill,11 Page St,1370000,-37.7921,144.9898,h,3.4,Yarra,Yes,Yes
125,2492,Clifton Hill,36 Ogrady St,1620000,-37.787,144.9988,h,3.4,Yarra,Yes,Yes
126,2493,Clifton Hill,69 Field St,1180000,-37.7928,145.0021,h,3.4,Yarra,Yes,Yes
127,2494,Clifton Hill,40 Spensley St,1405000,-37.7882,144.9984,h,3.4,Yarra,Yes,Not found
128,2495,Clifton Hill,2A Council St,880000,-37.7923,144.9858,h,3.4,Yarra,Yes,Not found
129,2496,Clifton Hill,31 Fenwick St,1450000,-37.7892,144.9999,h,3.4,Yarra,Yes,Not found
130,2497,Clifton Hill,104 Noone St,856000,-37.7936,144.995,h,3.4,Yarra,Yes,Yes
131,2499,Clifton Hill,7/37 Groom St,885500,-37.7937,144.9983,u,3.4,Yarra,Yes,Yes
132,2500,Clifton Hill,49 Fenwick St,1680000,-37.7884,145.0,h,3.4,Yarra,Yes,Not found
133,2501,Clifton Hill,1 John St,730000,-37.7898,144.9957,h,3.4,Yarra,Yes,Not found
134,2502,Clifton Hill,18 Barries Pl,825000,-37.7946,144.9989,t,3.4,Yarra,Yes,Yes
135,2503,Clifton Hill,1/493 Hoddle St,533000,-37.7931,144.9938,u,3.4,Yarra,Yes,Yes
136,2504,Clifton Hill,20 Gordon St,1430000,-37.7912,144.9963,h,3.4,Yarra,Yes,Not found
137,2505,Clifton Hill,1/1 Marshall Pl,1506000,-37.7885,144.9994,h,3.4,Yarra,Yes,Not found
138,2506,Clifton Hill,48 Council St,1150000,-37.7925,144.9877,h,3.4,Yarra,Yes,Not found
139,2508,Clifton Hill,3 Hodgkinson St,1360000,-37.7921,144.9858,h,3.4,Yarra,Yes,Not found
140,2513,Clifton Hill,53 John St,640000,-37.7873,144.9961,t,3.4,Yarra,Yes,Not found
141,2709,Collingwood,69 Hotham St,750000,-37.7968,144.9891,t,1.6,Yarra,Yes,Yes
142,2710,Collingwood,130 Keele St,890000,-37.7974,144.9915,h,1.6,Yarra,Yes,Yes
143,2711,Collingwood,10/79 Oxford St,1260000,-37.8042,144.9845,u,1.6,Yarra,Yes,Yes
144,2712,Collingwood,2/79 Oxford St,855000,-37.8042,144.9845,u,1.6,Yarra,Yes,Yes
145,2713,Collingwood,20 Hotham St,1260000,-37.7962,144.9866,h,1.6,Yarra,Yes,Yes
146,2714,Collingwood,65B Hotham St,1320000,-37.7969,144.9885,h,1.6,Yarra,Yes,Yes
147,2715,Collingwood,93 Hotham St,1430000,-37.7969,144.9905,h,1.6,Yarra,Yes,Yes
148,2716,Collingwood,15/18 Islington St,1125000,-37.8083,144.9908,t,1.6,Yarra,Yes,Yes
149,2717,Collingwood,4/170 Oxford St,950000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
150,2718,Collingwood,6/78 Oxford St,910000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
151,2719,Collingwood,9/22 Stanley St,452000,-37.802,144.9848,u,1.6,Yarra,Yes,Yes
152,2720,Collingwood,306/40 Stanley St,440000,-37.802,144.9854,u,1.6,Yarra,Yes,Yes
153,2721,Collingwood,110/3 Hoddle St,415000,-37.809,144.9911,u,1.6,Yarra,Yes,Yes
154,2722,Collingwood,20 Emma St,1015000,-37.7948,144.9861,h,1.6,Yarra,Yes,Yes
155,2723,Collingwood,307/11 Hoddle St,372000,-37.809,144.9911,u,1.6,Yarra,Yes,Yes
156,2724,Collingwood,5/77 Little Oxford St,1326000,-37.8032,144.9842,u,1.6,Yarra,Yes,Yes
157,2726,Collingwood,130 Perry St,910000,-37.8006,144.9925,t,1.6,Yarra,Yes,Yes
158,2727,Collingwood,1/79 Oxford St,1230000,-37.8042,144.9845,h,1.6,Yarra,Yes,Yes
159,2728,Collingwood,382 Wellington St,855000,-37.7953,144.9882,h,1.6,Yarra,Yes,Yes
160,2729,Collingwood,4/13 Alexander St,457000,-37.796,144.9911,u,1.6,Yarra,Yes,Yes
161,2731,Collingwood,1/60 Budd St,897500,-37.7961,144.9873,t,1.6,Yarra,Yes,Yes
162,2732,Collingwood,27/78 Oxford St,865000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
163,2733,Collingwood,82 Sackville St,1265000,-37.7985,144.9883,h,1.6,Yarra,Yes,Yes
164,2734,Collingwood,18 Derby St,1260000,-37.8067,144.984,h,1.6,Yarra,Yes,Yes
165,2735,Collingwood,84 Budd St,1075000,-37.7948,144.9875,h,1.6,Yarra,Yes,Yes
166,2736,Collingwood,38/99 Oxford St,1470000,-37.8037,144.9846,u,1.6,Yarra,Yes,Yes
167,2737,Collingwood,2/13 Alexander St,366000,-37.796,144.9911,u,1.6,Yarra,Yes,Yes
168,2738,Collingwood,15/78 Oxford St,461000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
169,2739,Collingwood,6 Forest St,981000,-37.7964,144.9923,h,1.6,Yarra,Yes,Yes
170,2740,Collingwood,10/76 Oxford St,683000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
171,2741,Collingwood,98 Hotham St,1470000,-37.7968,144.9924,h,1.6,Yarra,Yes,Yes
172,2742,Collingwood,182 Keele St,670000,-37.7976,144.993,h,1.6,Yarra,Yes,Yes
173,2743,Collingwood,107/10 Stanley St,430000,-37.8019,144.9845,u,1.6,Yarra,Yes,Yes
174,2744,Collingwood,5/22 Stanley St,515000,-37.802,144.9848,u,1.6,Yarra,Yes,Yes
175,2745,Collingwood,5 Charlotte St,1000000,-37.7962,144.9887,h,1.6,Yarra,Yes,Yes
176,2747,Collingwood,2/60 Budd St,887500,-37.7961,144.9874,t,1.6,Yarra,Yes,Yes
177,2749,Collingwood,10/30 Mater St,713500,-37.7954,144.9868,u,1.6,Yarra,Yes,Yes
178,2750,Collingwood,8/79 Oxford St,1500000,-37.8042,144.9845,u,1.6,Yarra,Yes,Yes
179,2751,Collingwood,5/61 Little Oxford St,672000,-37.8046,144.984,u,1.6,Yarra,Yes,Yes
180,2752,Collingwood,31/78 Oxford St,1215000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
181,2753,Collingwood,8/115 Oxford St,800000,-37.8026,144.9848,u,1.6,Yarra,Yes,Yes
182,2754,Collingwood,12/120 Cambridge St,1645000,-37.8046,144.9858,u,1.6,Yarra,Yes,Yes
183,2755,Collingwood,8/122 Sackville St,450000,-37.7988,144.9912,u,1.6,Yarra,Yes,Yes
184,2756,Collingwood,29/78 Oxford St,860000,-37.8035,144.985,u,1.6,Yarra,Yes,Yes
185,3227,Fitzroy,111 Cecil St,1000000,-37.7941,144.9802,h,1.6,Yarra,Yes,Not found
186,3228,Fitzroy,3/18 Hanover St,1252000,-37.8029,144.975,h,1.6,Yarra,Yes,Yes
187,3229,Fitzroy,4/113 Cecil St,810000,-37.7941,144.9802,u,1.6,Yarra,Yes,Not found
188,3230,Fitzroy,502/69 Victoria St,692000,-37.7988,144.9772,u,1.6,Yarra,Yes,Yes
189,3231,Fitzroy,127 George St,1780000,-37.8048,144.9806,h,1.6,Yarra,Yes,Yes
190,3232,Fitzroy,199 Moor St,947500,-37.8019,144.9821,h,1.6,Yarra,Yes,Yes
191,3233,Fitzroy,291 George St,1460000,-37.8006,144.9814,h,1.6,Yarra,Yes,Yes
192,3234,Fitzroy,1/59 Leicester St,1520000,-37.7951,144.9776,t,1.6,Yarra,Yes,Yes
193,3235,Fitzroy,7/56 Leicester St,880000,-37.7953,144.9775,t,1.6,Yarra,Yes,Yes
194,3236,Fitzroy,52 Nicholson St,3310000,-37.8052,144.9739,h,1.6,Yarra,Yes,Yes
195,3237,Fitzroy,124 Westgarth St,1481000,-37.795,144.9806,h,1.6,Yarra,Yes,Not found
196,3238,Fitzroy,258 Napier St,2200000,-37.8003,144.9806,h,1.6,Yarra,Yes,Yes
197,3240,Fitzroy,431 George St,1250000,-37.7966,144.9821,h,1.6,Yarra,Yes,Yes
198,3241,Fitzroy,190 Gore St,1440000,-37.8032,144.9825,h,1.6,Yarra,Yes,Yes
199,3242,Fitzroy,20 Westgarth St,1315000,-37.7946,144.9765,h,1.6,Yarra,Yes,Yes
200,3243,Fitzroy,31 Bell St,1950000,-37.7999,144.9759,h,1.6,Yarra,Yes,Yes
201,3244,Fitzroy,5/113 Cecil St,597000,-37.7941,144.9802,u,1.6,Yarra,Yes,Not found
202,3246,Fitzroy,24/26 Victoria St,650000,-37.799,144.9756,u,1.6,Yarra,Yes,Yes
203,3247,Fitzroy,113/300 Young St,465000,-37.7974,144.9799,u,1.6,Yarra,Yes,Yes
204,3248,Fitzroy,60 Bell St,1620000,-37.8004,144.9768,h,1.6,Yarra,Yes,Yes
205,3249,Fitzroy,47 Charles St,1600000,-37.803,144.9806,h,1.6,Yarra,Yes,Yes
206,3250,Fitzroy,10/5 St David St,850000,-37.8005,144.9787,u,1.6,Yarra,Yes,Yes
207,3251,Fitzroy,309/416 Gore St,790000,-37.7967,144.9836,u,1.6,Yarra,Yes,Yes
208,3252,Fitzroy,84 Kerr St,1122000,-37.7968,144.9781,h,1.6,Yarra,Yes,Yes
209,3253,Fitzroy,306/96 charles St,660000,-37.8035,144.9826,u,1.6,Yarra,Yes,Yes
210,3254,Fitzroy,107 Cecil St,1300000,-37.7941,144.98,h,1.6,Yarra,Yes,Not found
211,3256,Fitzroy,8/98 George St,420000,-37.8055,144.9809,u,1.6,Yarra,Yes,Yes
212,3257,Fitzroy,101/416 Gore St,715000,-37.7967,144.9836,u,1.6,Yarra,Yes,Yes
213,3258,Fitzroy,206/424 Gore St,458000,-37.7964,144.9839,u,1.6,Yarra,Yes,Yes
214,3259,Fitzroy,116 Leicester St,800000,-37.7956,144.9804,h,1.6,Yarra,Yes,Not found
215,3260,Fitzroy,9/56 Leicester St,710000,-37.7953,144.9775,t,1.6,Yarra,Yes,Yes
216,3261,Fitzroy,6/226 Moor St,630000,-37.8024,144.9835,u,1.6,Yarra,Yes,Yes
217,3262,Fitzroy,17 Bell St,4011000,-37.7999,144.9755,h,1.6,Yarra,Yes,Yes
218,3263,Fitzroy,11 Henry St,677000,-37.7969,144.9759,h,1.6,Yarra,Yes,Yes
219,3264,Fitzroy North,233/4 Bik La,700000,-37.7846,144.9785,u,3.5,Yarra,Yes,Yes
220,3265,Fitzroy North,470 Brunswick St,860000,-37.7927,144.9796,h,3.5,Yarra,Yes,Not found
221,3266,Fitzroy North,50 Freeman St,870000,-37.7898,144.9794,h,3.5,Yarra,Yes,Not found
222,3267,Fitzroy North,76 Newry St,1116000,-37.791,144.9809,h,3.5,Yarra,Yes,Not found
223,3268,Fitzroy North,2 Pilkington St,1450000,-37.7797,144.9861,h,3.5,Yarra,Yes,Yes
224,3269,Fitzroy North,186 Queens Pde,930000,-37.7903,144.9859,t,3.5,Yarra,Yes,Not found
225,3271,Fitzroy North,129/4 Bik La,700000,-37.7846,144.9785,u,3.5,Yarra,Yes,Yes
226,3272,Fitzroy North,276 McKean St,2170000,-37.7851,144.9934,h,3.5,Yarra,Yes,Yes
227,3273,Fitzroy North,7/14 Rae St,358500,-37.7925,144.9786,u,3.5,Yarra,Yes,Not found
228,3274,Fitzroy North,24 Taylor St,1000000,-37.7754,144.9806,h,3.5,Yarra,Yes,Yes
229,3275,Fitzroy North,51 Rae St,770000,-37.7916,144.9784,h,3.5,Yarra,Yes,Not found
230,3276,Fitzroy North,92 Scotchmer St,1008000,-37.7833,144.9819,h,3.5,Yarra,Yes,Yes
231,3277,Fitzroy North,5/35 Jamieson St,1015000,-37.7912,144.9825,t,3.5,Yarra,Yes,Not found
232,3278,Fitzroy North,780 Brunswick St,1371000,-37.7835,144.9816,h,3.5,Yarra,Yes,Yes
233,3279,Fitzroy North,1/180 Queens Pde,1054000,-37.7903,144.9859,t,3.5,Yarra,Yes,Not found
234,3280,Fitzroy North,24 Apperley St,1055000,-37.7818,144.9863,h,3.5,Yarra,Yes,Yes
235,3281,Fitzroy North,605/4 Bik La,720000,-37.7846,144.9785,u,3.5,Yarra,Yes,Yes
236,3282,Fitzroy North,201A Clauscen St,1286000,-37.7779,144.9862,h,3.5,Yarra,Yes,Yes
237,3283,Fitzroy North,11 Freeman St,1655000,-37.7892,144.9773,h,3.5,Yarra,Yes,Yes
238,3284,Fitzroy North,373 Rae St,1181000,-37.7835,144.9799,h,3.5,Yarra,Yes,Yes
239,3285,Fitzroy North,26 Scotchmer St,1600000,-37.7829,144.9788,t,3.5,Yarra,Yes,Yes
240,3286,Fitzroy North,13 Alister St,2875000,-37.7749,144.9864,h,3.5,Moreland,Yes,Yes
241,3287,Fitzroy North,28 Percy St,990000,-37.791,144.9779,h,3.5,Yarra,Yes,Not found
242,3289,Fitzroy North,74 Barkly St,1950000,-37.7786,144.9818,h,3.5,Yarra,Yes,Yes
243,3290,Fitzroy North,79 Delbridge St,3400000,-37.786,144.9864,h,3.5,Yarra,Yes,Not found
244,3291,Fitzroy North,70 Park St,1785000,-37.7815,144.9869,h,3.5,Yarra,Yes,Yes
245,3292,Fitzroy North,10 Delbridge St,1315000,-37.7887,144.9888,h,3.5,Yarra,Yes,Not found
246,3293,Fitzroy North,2 Scotchmer St,1210000,-37.7829,144.9782,h,3.5,Yarra,Yes,Yes
247,3294,Fitzroy North,111 Best St,1275000,-37.7813,144.9834,h,3.5,Yarra,Yes,Yes
248,3295,Fitzroy North,282 Glenlyon Rd,1141000,-37.7739,144.9819,h,3.5,Moreland,Yes,Yes
249,3296,Fitzroy North,24 Batman St,1255000,-37.7841,144.9793,h,3.5,Yarra,Yes,Yes
250,3297,Fitzroy North,83 Best St,1700000,-37.782,144.9834,h,3.5,Yarra,Yes,Yes
251,3298,Fitzroy North,35 Birkenhead St,1290000,-37.7819,144.9824,h,3.5,Yarra,Yes,Yes
252,3299,Fitzroy North,8/3 Miller St,750000,-37.7761,144.9792,t,3.5,Yarra,Yes,Yes
253,3300,Fitzroy North,9/222 Queens Pde,674000,-37.7899,144.9869,u,3.5,Yarra,Yes,Not found
254,3301,Fitzroy North,23/86 Queens Pde,675000,-37.7918,144.9824,u,3.5,Yarra,Yes,Not found
255,3302,Fitzroy North,44 Reid St,1700000,-37.7855,144.9789,t,3.5,Yarra,Yes,Yes
256,3304,Fitzroy North,30 Eastham St,875000,-37.7823,144.9864,h,3.5,Yarra,Yes,Yes
