,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name
2476,Clifton Hill,66 Noone St,780000,-37.7934,144.9922,h,3.4,Yarra,Yes
2477,Clifton Hill,13 Caroline St,1060000,-37.7899,144.9984,h,3.4,Yarra,Yes
2478,Clifton Hill,3/68 Noone St,930000,-37.7934,144.9923,t,3.4,Yarra,Yes
2479,Clifton Hill,86 Hodgkinson St,1420000,-37.7898,144.9903,h,3.4,Yarra,Yes
2480,Clifton Hill,119 Roseneath St,1075000,-37.7928,144.9987,h,3.4,Yarra,Yes
2481,Clifton Hill,85 Roseneath St,1105000,-37.7927,144.9981,h,3.4,Yarra,Yes
2482,Clifton Hill,413a Wellington St,1209000,-37.7919,144.9884,h,3.4,Yarra,Yes
2483,Clifton Hill,32 Caroline St,3010000,-37.7897,144.9992,h,3.4,Yarra,Yes
2484,Clifton Hill,17 Myrtle St,1435000,-37.7918,144.997,h,3.4,Yarra,Yes
2485,Clifton Hill,12 Kiewa St,1417000,-37.7924,145.0002,h,3.4,Yarra,Yes
2486,Clifton Hill,40 Myrtle St,1290000,-37.7912,144.9967,h,3.4,Yarra,Yes
2487,Clifton Hill,195 Gold St,1226000,-37.7917,144.9902,h,3.4,Yarra,Yes
2488,Clifton Hill,3/30 Edmund St,495000,-37.7875,145.0049,u,3.4,Yarra,Yes
2489,Clifton Hill,4/56 John St,325000,-37.7873,144.9958,u,3.4,Yarra,Yes
2490,Clifton Hill,11 Page St,1370000,-37.7921,144.9898,h,3.4,Yarra,Yes
2492,Clifton Hill,36 Ogrady St,1620000,-37.787,144.9988,h,3.4,Yarra,Yes
2493,Clifton Hill,69 Field St,1180000,-37.7928,145.0021,h,3.4,Yarra,Yes
2494,Clifton Hill,40 Spensley St,1405000,-37.7882,144.9984,h,3.4,Yarra,Yes
2495,Clifton Hill,2A Council St,880000,-37.7923,144.9858,h,3.4,Yarra,Yes
2496,Clifton Hill,31 Fenwick St,1450000,-37.7892,144.9999,h,3.4,Yarra,Yes
2497,Clifton Hill,104 Noone St,856000,-37.7936,144.995,h,3.4,Yarra,Yes
2499,Clifton Hill,7/37 Groom St,885500,-37.7937,144.9983,u,3.4,Yarra,Yes
2500,Clifton Hill,49 Fenwick St,1680000,-37.7884,145.0,h,3.4,Yarra,Yes
2501,Clifton Hill,1 John St,730000,-37.7898,144.9957,h,3.4,Yarra,Yes
2502,Clifton Hill,18 Barries Pl,825000,-37.7946,144.9989,t,3.4,Yarra,Yes
2503,Clifton Hill,1/493 Hoddle St,533000,-37.7931,144.9938,u,3.4,Yarra,Yes
2504,Clifton Hill,20 Gordon St,1430000,-37.7912,144.9963,h,3.4,Yarra,Yes
2505,Clifton Hill,1/1 Marshall Pl,1506000,-37.7885,144.9994,h,3.4,Yarra,Yes
2506,Clifton Hill,48 Council St,1150000,-37.7925,144.9877,h,3.4,Yarra,Yes
2508,Clifton Hill,3 Hodgkinson St,1360000,-37.7921,144.9858,h,3.4,Yarra,Yes
2513,Clifton Hill,53 John St,640000,-37.7873,144.9961,t,3.4,Yarra,Yes
2709,Collingwood,69 Hotham St,750000,-37.7968,144.9891,t,1.6,Yarra,Yes
2710,Collingwood,130 Keele St,890000,-37.7974,144.9915,h,1.6,Yarra,Yes
2711,Collingwood,10/79 Oxford St,1260000,-37.8042,144.9845,u,1.6,Yarra,Yes
2712,Collingwood,2/79 Oxford St,855000,-37.8042,144.9845,u,1.6,Yarra,Yes
2713,Collingwood,20 Hotham St,1260000,-37.7962,144.9866,h,1.6,Yarra,Yes
2714,Collingwood,65B Hotham St,1320000,-37.7969,144.9885,h,1.6,Yarra,Yes
2715,Collingwood,93 Hotham St,1430000,-37.7969,144.9905,h,1.6,Yarra,Yes
2716,Collingwood,15/18 Islington St,1125000,-37.8083,144.9908,t,1.6,Yarra,Yes
2717,Collingwood,4/170 Oxford St,950000,-37.8035,144.985,u,1.6,Yarra,Yes
2718,Collingwood,6/78 Oxford St,910000,-37.8035,144.985,u,1.6,Yarra,Yes
2719,Collingwood,9/22 Stanley St,452000,-37.802,144.9848,u,1.6,Yarra,Yes
2720,Collingwood,306/40 Stanley St,440000,-37.802,144.9854,u,1.6,Yarra,Yes
2721,Collingwood,110/3 Hoddle St,415000,-37.809,144.9911,u,1.6,Yarra,Yes
2722,Collingwood,20 Emma St,1015000,-37.7948,144.9861,h,1.6,Yarra,Yes
2723,Collingwood,307/11 Hoddle St,372000,-37.809,144.9911,u,1.6,Yarra,Yes
2724,Collingwood,5/77 Little Oxford St,1326000,-37.8032,144.9842,u,1.6,Yarra,Yes
2726,Collingwood,130 Perry St,910000,-37.8006,144.9925,t,1.6,Yarra,Yes
2727,Collingwood,1/79 Oxford St,1230000,-37.8042,144.9845,h,1.6,Yarra,Yes
2728,Collingwood,382 Wellington St,855000,-37.7953,144.9882,h,1.6,Yarra,Yes
2729,Collingwood,4/13 Alexander St,457000,-37.796,144.9911,u,1.6,Yarra,Yes
2731,Collingwood,1/60 Budd St,897500,-37.7961,144.9873,t,1.6,Yarra,Yes
2732,Collingwood,27/78 Oxford St,865000,-37.8035,144.985,u,1.6,Yarra,Yes
2733,Collingwood,82 Sackville St,1265000,-37.7985,144.9883,h,1.6,Yarra,Yes
2734,Collingwood,18 Derby St,1260000,-37.8067,144.984,h,1.6,Yarra,Yes
2735,Collingwood,84 Budd St,1075000,-37.7948,144.9875,h,1.6,Yarra,Yes
2736,Collingwood,38/99 Oxford St,1470000,-37.8037,144.9846,u,1.6,Yarra,Yes
2737,Collingwood,2/13 Alexander St,366000,-37.796,144.9911,u,1.6,Yarra,Yes
2738,Collingwood,15/78 Oxford St,461000,-37.8035,144.985,u,1.6,Yarra,Yes
2739,Collingwood,6 Forest St,981000,-37.7964,144.9923,h,1.6,Yarra,Yes
2740,Collingwood,10/76 Oxford St,683000,-37.8035,144.985,u,1.6,Yarra,Yes
2741,Collingwood,98 Hotham St,1470000,-37.7968,144.9924,h,1.6,Yarra,Yes
2742,Collingwood,182 Keele St,670000,-37.7976,144.993,h,1.6,Yarra,Yes
2743,Collingwood,107/10 Stanley St,430000,-37.8019,144.9845,u,1.6,Yarra,Yes
2744,Collingwood,5/22 Stanley St,515000,-37.802,144.9848,u,1.6,Yarra,Yes
2745,Collingwood,5 Charlotte St,1000000,-37.7962,144.9887,h,1.6,Yarra,Yes
2747,Collingwood,2/60 Budd St,887500,-37.7961,144.9874,t,1.6,Yarra,Yes
2749,Collingwood,10/30 Mater St,713500,-37.7954,144.9868,u,1.6,Yarra,Yes
2750,Collingwood,8/79 Oxford St,1500000,-37.8042,144.9845,u,1.6,Yarra,Yes
2751,Collingwood,5/61 Little Oxford St,672000,-37.8046,144.984,u,1.6,Yarra,Yes
2752,Collingwood,31/78 Oxford St,1215000,-37.8035,144.985,u,1.6,Yarra,Yes
2753,Collingwood,8/115 Oxford St,800000,-37.8026,144.9848,u,1.6,Yarra,Yes
2754,Collingwood,12/120 Cambridge St,1645000,-37.8046,144.9858,u,1.6,Yarra,Yes
2755,Collingwood,8/122 Sackville St,450000,-37.7988,144.9912,u,1.6,Yarra,Yes
2756,Collingwood,29/78 Oxford St,860000,-37.8035,144.985,u,1.6,Yarra,Yes
3227,Fitzroy,111 Cecil St,1000000,-37.7941,144.9802,h,1.6,Yarra,Yes
3228,Fitzroy,3/18 Hanover St,1252000,-37.8029,144.975,h,1.6,Yarra,Yes
3229,Fitzroy,4/113 Cecil St,810000,-37.7941,144.9802,u,1.6,Yarra,Yes
3230,Fitzroy,502/69 Victoria St,692000,-37.7988,144.9772,u,1.6,Yarra,Yes
3231,Fitzroy,127 George St,1780000,-37.8048,144.9806,h,1.6,Yarra,Yes
3232,Fitzroy,199 Moor St,947500,-37.8019,144.9821,h,1.6,Yarra,Yes
3233,Fitzroy,291 George St,1460000,-37.8006,144.9814,h,1.6,Yarra,Yes
3234,Fitzroy,1/59 Leicester St,1520000,-37.7951,144.9776,t,1.6,Yarra,Yes
3235,Fitzroy,7/56 Leicester St,880000,-37.7953,144.9775,t,1.6,Yarra,Yes
3236,Fitzroy,52 Nicholson St,3310000,-37.8052,144.9739,h,1.6,Yarra,Yes
3237,Fitzroy,124 Westgarth St,1481000,-37.795,144.9806,h,1.6,Yarra,Yes
3238,Fitzroy,258 Napier St,2200000,-37.8003,144.9806,h,1.6,Yarra,Yes
3240,Fitzroy,431 George St,1250000,-37.7966,144.9821,h,1.6,Yarra,Yes
3241,Fitzroy,190 Gore St,1440000,-37.8032,144.9825,h,1.6,Yarra,Yes
3242,Fitzroy,20 Westgarth St,1315000,-37.7946,144.9765,h,1.6,Yarra,Yes
3243,Fitzroy,31 Bell St,1950000,-37.7999,144.9759,h,1.6,Yarra,Yes
3244,Fitzroy,5/113 Cecil St,597000,-37.7941,144.9802,u,1.6,Yarra,Yes
3246,Fitzroy,24/26 Victoria St,650000,-37.799,144.9756,u,1.6,Yarra,Yes
3247,Fitzroy,113/300 Young St,465000,-37.7974,144.9799,u,1.6,Yarra,Yes
3248,Fitzroy,60 Bell St,1620000,-37.8004,144.9768,h,1.6,Yarra,Yes
3249,Fitzroy,47 Charles St,1600000,-37.803,144.9806,h,1.6,Yarra,Yes
3250,Fitzroy,10/5 St David St,850000,-37.8005,144.9787,u,1.6,Yarra,Yes
3251,Fitzroy,309/416 Gore St,790000,-37.7967,144.9836,u,1.6,Yarra,Yes
3252,Fitzroy,84 Kerr St,1122000,-37.7968,144.9781,h,1.6,Yarra,Yes
3253,Fitzroy,306/96 charles St,660000,-37.8035,144.9826,u,1.6,Yarra,Yes
3254,Fitzroy,107 Cecil St,1300000,-37.7941,144.98,h,1.6,Yarra,Yes
3256,Fitzroy,8/98 George St,420000,-37.8055,144.9809,u,1.6,Yarra,Yes
3257,Fitzroy,101/416 Gore St,715000,-37.7967,144.9836,u,1.6,Yarra,Yes
3258,Fitzroy,206/424 Gore St,458000,-37.7964,144.9839,u,1.6,Yarra,Yes
3259,Fitzroy,116 Leicester St,800000,-37.7956,144.9804,h,1.6,Yarra,Yes
3260,Fitzroy,9/56 Leicester St,710000,-37.7953,144.9775,t,1.6,Yarra,Yes
3261,Fitzroy,6/226 Moor St,630000,-37.8024,144.9835,u,1.6,Yarra,Yes
3262,Fitzroy,17 Bell St,4011000,-37.7999,144.9755,h,1.6,Yarra,Yes
3263,Fitzroy,11 Henry St,677000,-37.7969,144.9759,h,1.6,Yarra,Yes
3264,Fitzroy North,233/4 Bik La,700000,-37.7846,144.9785,u,3.5,Yarra,Yes
3265,Fitzroy North,470 Brunswick St,860000,-37.7927,144.9796,h,3.5,Yarra,Yes
3266,Fitzroy North,50 Freeman St,870000,-37.7898,144.9794,h,3.5,Yarra,Yes
3267,Fitzroy North,76 Newry St,1116000,-37.791,144.9809,h,3.5,Yarra,Yes
3268,Fitzroy North,2 Pilkington St,1450000,-37.7797,144.9861,h,3.5,Yarra,Yes
3269,Fitzroy North,186 Queens Pde,930000,-37.7903,144.9859,t,3.5,Yarra,Yes
3271,Fitzroy North,129/4 Bik La,700000,-37.7846,144.9785,u,3.5,Yarra,Yes
3272,Fitzroy North,276 McKean St,2170000,-37.7851,144.9934,h,3.5,Yarra,Yes
3273,Fitzroy North,7/14 Rae St,358500,-37.7925,144.9786,u,3.5,Yarra,Yes
3274,Fitzroy North,24 Taylor St,1000000,-37.7754,144.9806,h,3.5,Yarra,Yes
3275,Fitzroy North,51 Rae St,770000,-37.7916,144.9784,h,3.5,Yarra,Yes
3276,Fitzroy North,92 Scotchmer St,1008000,-37.7833,144.9819,h,3.5,Yarra,Yes
3277,Fitzroy North,5/35 Jamieson St,1015000,-37.7912,144.9825,t,3.5,Yarra,Yes
3278,Fitzroy North,780 Brunswick St,1371000,-37.7835,144.9816,h,3.5,Yarra,Yes
3279,Fitzroy North,1/180 Queens Pde,1054000,-37.7903,144.9859,t,3.5,Yarra,Yes
3280,Fitzroy North,24 Apperley St,1055000,-37.7818,144.9863,h,3.5,Yarra,Yes
3281,Fitzroy North,605/4 Bik La,720000,-37.7846,144.9785,u,3.5,Yarra,Yes
3282,Fitzroy North,201A Clauscen St,1286000,-37.7779,144.9862,h,3.5,Yarra,Yes
3283,Fitzroy North,11 Freeman St,1655000,-37.7892,144.9773,h,3.5,Yarra,Yes
3284,Fitzroy North,373 Rae St,1181000,-37.7835,144.9799,h,3.5,Yarra,Yes
3285,Fitzroy North,26 Scotchmer St,1600000,-37.7829,144.9788,t,3.5,Yarra,Yes
3286,Fitzroy North,13 Alister St,2875000,-37.7749,144.9864,h,3.5,Moreland,Yes
3287,Fitzroy North,28 Percy St,990000,-37.791,144.9779,h,3.5,Yarra,Yes
3289,Fitzroy North,74 Barkly St,1950000,-37.7786,144.9818,h,3.5,Yarra,Yes
3290,Fitzroy North,79 Delbridge St,3400000,-37.786,144.9864,h,3.5,Yarra,Yes
3291,Fitzroy North,70 Park St,1785000,-37.7815,144.9869,h,3.5,Yarra,Yes
3292,Fitzroy North,10 Delbridge St,1315000,-37.7887,144.9888,h,3.5,Yarra,Yes
3293,Fitzroy North,2 Scotchmer St,1210000,-37.7829,144.9782,h,3.5,Yarra,Yes
3294,Fitzroy North,111 Best St,1275000,-37.7813,144.9834,h,3.5,Yarra,Yes
3295,Fitzroy North,282 Glenlyon Rd,1141000,-37.7739,144.9819,h,3.5,Moreland,Yes
3296,Fitzroy North,24 Batman St,1255000,-37.7841,144.9793,h,3.5,Yarra,Yes
3297,Fitzroy North,83 Best St,1700000,-37.782,144.9834,h,3.5,Yarra,Yes
3298,Fitzroy North,35 Birkenhead St,1290000,-37.7819,144.9824,h,3.5,Yarra,Yes
3299,Fitzroy North,8/3 Miller St,750000,-37.7761,144.9792,t,3.5,Yarra,Yes
3300,Fitzroy North,9/222 Queens Pde,674000,-37.7899,144.9869,u,3.5,Yarra,Yes
3301,Fitzroy North,23/86 Queens Pde,675000,-37.7918,144.9824,u,3.5,Yarra,Yes
3302,Fitzroy North,44 Reid St,1700000,-37.7855,144.9789,t,3.5,Yarra,Yes
3304,Fitzroy North,30 Eastham St,875000,-37.7823,144.9864,h,3.5,Yarra,Yes
3305,Fitzroy North,3 Curtain Pl,1080000,-37.7923,144.9776,t,3.5,Yarra,Yes
3306,Fitzroy North,14 Falconer St,1851000,-37.7852,144.9868,h,3.5,Yarra,Yes
3307,Fitzroy North,273 Glenlyon Rd,1222500,-37.7737,144.9822,h,3.5,Moreland,Yes
3308,Fitzroy North,8/54 Kneen St,330000,-37.782,144.9896,u,3.5,Yarra,Yes
3309,Fitzroy North,13 Seacombe St,1232000,-37.7848,144.9806,h,3.5,Yarra,Yes
3310,Fitzroy North,21 Reid St,899000,-37.7851,144.9784,h,3.5,Yarra,Yes
3311,Fitzroy North,179 Barkly St,2300000,-37.7786,144.9846,h,3.5,Yarra,Yes
3312,Fitzroy North,181 Rae St,937500,-37.788,144.9791,h,3.5,Yarra,Yes
3313,Fitzroy North,86 Clauscen St,1710000,-37.7778,144.9824,h,3.5,Yarra,Yes
3314,Fitzroy North,264 Barkly St,1600000,-37.7794,144.9892,h,3.5,Yarra,Yes
3315,Fitzroy North,191 Scotchmer St,1300000,-37.7834,144.9862,h,3.5,Yarra,Yes
3316,Fitzroy North,49 Best St,2300000,-37.7828,144.9832,h,3.5,Yarra,Yes
3317,Fitzroy North,123/4 Bik La,490000,-37.7846,144.9785,u,3.5,Yarra,Yes
3318,Fitzroy North,717 Brunswick St,1300000,-37.7851,144.9809,h,3.5,Yarra,Yes
3319,Fitzroy North,14 King St,1300000,-37.776,144.9832,h,3.5,Yarra,Yes
3320,Fitzroy North,205 Scotchmer St,2150000,-37.7835,144.9867,h,3.5,Yarra,Yes
3321,Fitzroy North,8/86 Queens Pde,775000,-37.7918,144.9824,t,3.5,Yarra,Yes
3323,Fitzroy North,168 Scotchmer St,1581000,-37.7836,144.985,h,3.5,Yarra,Yes
3324,Fitzroy North,12/262 Barkly St,602000,-37.7794,144.989,u,3.5,Yarra,Yes
3325,Fitzroy North,5/118 Miller St,650000,-37.777,144.9838,h,3.5,Yarra,Yes
3326,Fitzroy North,421 Rae St,1283000,-37.7824,144.9801,h,3.5,Yarra,Yes
3327,Fitzroy North,55 Seacombe St,1450000,-37.7839,144.9807,h,3.5,Yarra,Yes
3328,Fitzroy North,29 Tait St,1325000,-37.783,144.9866,h,3.5,Yarra,Yes
3329,Flemington,96 Bryant St,865500,-37.7835,144.9339,h,4.4,Moonee Valley,Yes
3330,Flemington,3/39 Dover St,365000,-37.7833,144.9255,u,4.4,Moonee Valley,Yes
3332,Flemington,15/17 Ascot Vale Rd,380000,-37.7852,144.9216,u,4.4,Moonee Valley,Yes
3333,Flemington,8/39 Dover St,425000,-37.7833,144.9255,u,4.4,Moonee Valley,Yes
3334,Flemington,1/142 Shields St,280000,-37.7839,144.9347,u,4.4,Moonee Valley,Yes
3336,Flemington,10 Crown St,870000,-37.7869,144.9228,h,4.4,Moonee Valley,Yes
3337,Flemington,1/15 Dartford St,391000,-37.7825,144.9239,u,4.4,Moonee Valley,Yes
3338,Flemington,1/116 Edinburgh St,715000,-37.7852,144.9223,h,4.4,Moonee Valley,Yes
3339,Flemington,11 Finsbury St,1130000,-37.7856,144.9292,h,4.4,Moonee Valley,Yes
3340,Flemington,43 Finsbury St,1110000,-37.7857,144.931,h,4.4,Moonee Valley,Yes
