,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name,commercial.shopping_mall Name,healthcare Name,tourism.attraction Name,leisure.park.nature_reserve Name
87,Ashburton,5 Nicholas St,1337000,-37.8685,145.0786,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
88,Ashburton,115 Ashburn Gr,2950000,-37.8729,145.0788,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
89,Ashburton,33 Eleanor St,2215000,-37.8612,145.0858,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
90,Ashburton,1/1 Nairn St,1518000,-37.8675,145.0668,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
91,Ashburton,9 Gona Ct,1710000,-37.8695,145.084,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
92,Ashburton,45 Yuile St,1655000,-37.8599,145.0815,h,11.0,Boroondara,Yes,Not found,Yes,Yes,Yes
93,Ashburton,47 Yuile St,1550000,-37.86,145.0817,h,11.0,Boroondara,Yes,Not found,Yes,Yes,Yes
94,Ashburton,6a Glen Rd,1662000,-37.8742,145.07,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
95,Ashburton,18 Glen Rd,1665000,-37.8737,145.0695,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
96,Ashburton,95 Nicholas St,1445000,-37.8745,145.0738,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
97,Ashburton,29A Yuile St,3510000,-37.8598,145.0796,h,11.0,Boroondara,Yes,Not found,Yes,Yes,Yes
98,Ashburton,4 Baker Pde,1500000,-37.8605,145.0833,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
99,Ashburton,15 Comas Gr,2752000,-37.8714,145.073,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
100,Ashburton,3 Mustang Ct,1500000,-37.8653,145.0897,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
101,Ashburton,63 Dent St,1800000,-37.8669,145.077,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
102,Ashburton,4 Vears Rd,1830000,-37.8619,145.0879,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
103,Ashburton,14 Lucerne St,1415000,-37.8703,145.0774,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
104,Ashburton,5 Pitt St,1440000,-37.872,145.0692,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
105,Ashburton,12 Meaden St,1422000,-37.8679,145.0781,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
106,Ashburton,48 Nicholas St,1600000,-37.8724,145.0758,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
107,Ashburton,5 Taylor St,1860000,-37.8711,145.0746,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
108,Ashburton,33 Highgate Gr,1790000,-37.8664,145.0772,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
109,Ashburton,9 Pitt St,1950000,-37.8715,145.0688,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
110,Ashburton,9 Ward St,1600000,-37.8645,145.0797,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
111,Ashburton,159 Ashburn Gr,1320000,-37.8752,145.0754,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Not found
112,Ashburton,19 Poulter St,1650000,-37.8636,145.0903,h,11.0,Boroondara,Yes,Yes,Yes,Yes,Yes
113,Ashwood,18 Teck St,995000,-37.8693,145.1082,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
114,Ashwood,28 Raymond St,1250000,-37.867,145.1092,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
115,Ashwood,1/53 Winbirra Pde,1200000,-37.8716,145.0999,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
116,Ashwood,18 Montrose St,1075000,-37.8694,145.0944,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
117,Ashwood,4 Scenic Dr,1500000,-37.8647,145.1023,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
118,Ashwood,8 Rocklands Rd,1120000,-37.8642,145.1109,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
119,Ashwood,1/136 High Street Rd,761000,-37.8675,145.106,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
120,Ashwood,10 Maroondah Rd,1270000,-37.8651,145.1109,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
121,Ashwood,4 Peppermint Ct,1510000,-37.8661,145.1013,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
122,Ashwood,35 Douglas St,1365000,-37.864,145.0972,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
123,Ashwood,95 Huntingdale Rd,1100000,-37.8621,145.1126,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
124,Ashwood,8 Maroondah Rd,1415000,-37.8651,145.1107,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
125,Ashwood,58 Ashwood Dr,1631000,-37.8621,145.1021,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
126,Ashwood,3 Harold St,1500000,-37.8655,145.096,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
127,Ashwood,9 Katta Ct,1060000,-37.8707,145.1036,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
128,Ashwood,16 Scenic Dr,1529500,-37.8637,145.1024,h,12.2,Monash,Yes,Yes,Yes,Yes,Yes
129,Ashwood,147 Huntingdale Rd,785000,-37.8671,145.1117,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
130,Ashwood,17 Parkhill Dr,1240000,-37.8629,145.1097,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
131,Ashwood,12 Leonard St,1350000,-37.8669,145.1106,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
132,Ashwood,4 Teck St,1110000,-37.8683,145.1082,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
133,Ashwood,14 Ashwood Dr,1305000,-37.858,145.1038,h,12.2,Monash,Yes,Not found,Yes,Yes,Yes
134,Ashwood,1/2 Condah Ct,855000,-37.87,145.1103,h,12.2,Monash,Yes,Yes,Yes,Yes,Not found
135,Ashwood,4 Newbury Ct,1200000,-37.8614,145.1098,h,12.2,Monash,Yes,Not found,Yes,Yes,Not found
136,Avondale Heights,8 Norma Ct,850000,-37.7677,144.8674,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
137,Avondale Heights,9 Rogerson St,750000,-37.7634,144.8611,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
138,Avondale Heights,105 Canning St,848000,-37.7706,144.8629,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
139,Avondale Heights,36 Wood St,806000,-37.7676,144.859,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
140,Avondale Heights,2 Arbor Tce,1155000,-37.7654,144.8655,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
141,Avondale Heights,3 Karen Ct,670000,-37.7593,144.871,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
142,Avondale Heights,6 Lovett Dr,1200000,-37.7545,144.8736,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
143,Avondale Heights,12 Skewes St,636000,-37.7605,144.8581,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
144,Avondale Heights,68 Thompson St,680000,-37.7591,144.8542,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
145,Avondale Heights,14 Lovett Dr,1160000,-37.7537,144.8729,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
146,Avondale Heights,31 Duke St,750000,-37.7721,144.8576,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
147,Avondale Heights,97 Military Rd,627500,-37.7632,144.8622,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
148,Avondale Heights,3 Clive Ct,950000,-37.7524,144.8714,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
149,Avondale Heights,22 Warrick Ct,1600000,-37.7532,144.8766,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
150,Avondale Heights,7 Monmouth St,650000,-37.7627,144.857,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
151,Avondale Heights,15 River Dr,725000,-37.752,144.854,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
152,Avondale Heights,40a Herbert St,560500,-37.7664,144.8583,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
153,Avondale Heights,185 Military Rd,615000,-37.758,144.86,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
154,Avondale Heights,33 Wood St,845000,-37.7681,144.8592,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
155,Avondale Heights,14 Herbert St,585000,-37.7686,144.8576,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
156,Avondale Heights,9 Willow Dr,850000,-37.7522,144.8518,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
157,Avondale Heights,8 Westminster Dr,850000,-37.7639,144.8615,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
158,Avondale Heights,8 Herbert St,705000,-37.7691,144.8575,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
159,Avondale Heights,2 Hillman Ct,1100000,-37.7609,144.8639,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
160,Avondale Heights,20 Westminster Dr,892500,-37.7642,144.8603,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
161,Avondale Heights,8 Moffat St,695000,-37.771,144.8586,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
162,Avondale Heights,1/24 Bordeaux St,522500,-37.756,144.8641,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
163,Avondale Heights,72 Military Rd,680000,-37.7649,144.8633,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Yes
164,Avondale Heights,19 Clarendon St,730000,-37.766,144.8596,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
165,Avondale Heights,2 Drake Ct,875000,-37.765,144.8578,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
166,Avondale Heights,11 South Tce,850000,-37.751,144.8571,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
167,Avondale Heights,61 Doyle St,635000,-37.7568,144.8572,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
168,Avondale Heights,109 North Rd,762000,-37.7573,144.8534,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
169,Avondale Heights,10 Intervale Dr,790000,-37.7513,144.859,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
170,Avondale Heights,328 Milleara Rd,605000,-37.7563,144.8601,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
171,Avondale Heights,10 Skewes St,805000,-37.7607,144.8581,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
172,Avondale Heights,62 Skewes St,890000,-37.757,144.8566,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
173,Avondale Heights,49 Rogerson St,795000,-37.7644,144.8575,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
174,Avondale Heights,43 Skewes St,634000,-37.7584,144.8568,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
175,Avondale Heights,63 Doyle St,642000,-37.7567,144.8572,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
176,Avondale Heights,235 Military Rd,863000,-37.7546,144.8585,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
177,Avondale Heights,57 North Rd,740000,-37.7546,144.857,h,10.5,Moonee Valley,Not found,Yes,Yes,Yes,Not found
178,Bentleigh,22 Hobart St,1275000,-37.925,145.046,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
179,Bentleigh,32 Leckie St,1550000,-37.9207,145.0479,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
180,Bentleigh,7 Marquis Rd,1420000,-37.9305,145.0449,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
181,Bentleigh,11 Rogers Rd,1425000,-37.9311,145.0428,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
182,Bentleigh,11A Mortimore St,1222500,-37.9272,145.0406,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
183,Bentleigh,127 Tucker Rd,1260000,-37.9232,145.0502,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
184,Bentleigh,37 Godfrey St,2700000,-37.9155,145.0401,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
185,Bentleigh,15 Miles St,1100000,-37.922,145.0302,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
186,Bentleigh,143 Patterson Rd,1005000,-37.9269,145.047,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
187,Bentleigh,13 Somers St,1317500,-37.9149,145.0254,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
188,Bentleigh,156 Patterson Rd,1110000,-37.9263,145.04,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
189,Bentleigh,8 Rose St,2435000,-37.9166,145.0314,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
190,Bentleigh,23 Yawla St,1500000,-37.9134,145.0263,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
191,Bentleigh,39 Luckins Rd,1300000,-37.9318,145.0474,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
192,Bentleigh,1/19 Patterson Rd,855000,-37.9247,145.0287,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
193,Bentleigh,592 Centre Rd,1125000,-37.9199,145.0477,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
194,Bentleigh,32 Luckins Rd,1135000,-37.9321,145.0472,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
195,Bentleigh,575 South Rd,867000,-37.9344,145.0481,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
196,Bentleigh,74 Fromer St,1328000,-37.9291,145.0472,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
197,Bentleigh,4 Gordon St,1340000,-37.9279,145.031,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
198,Bentleigh,182 Patterson Rd,1275000,-37.9267,145.043,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
199,Bentleigh,548 Centre Rd,770000,-37.9193,145.0438,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
200,Bentleigh,1/30 Daley St,855000,-37.9243,145.0376,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
201,Bentleigh,112 Tucker Rd,1815000,-37.924,145.0504,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
202,Bentleigh,9 Yawla St,2255000,-37.9132,145.0251,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
203,Bentleigh,66 Fromer St,1470000,-37.929,145.0464,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
204,Bentleigh,11 Somers St,1450000,-37.9149,145.0252,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
205,Bentleigh,103 Tucker Rd,1200000,-37.9256,145.0497,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
206,Bentleigh,11 Wheatley Rd,1860000,-37.9163,145.0324,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
207,Bentleigh,6 Atkinson St,1293000,-37.9282,145.0367,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
208,Bentleigh,38 Leckie St,1390000,-37.9203,145.048,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
209,Bentleigh,15 Luckins Rd,1400000,-37.9316,145.0454,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
210,Bentleigh,33 Luckins Rd,1328000,-37.9317,145.0469,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
211,Bentleigh,14 Sandra Gr,1311000,-37.933,145.0466,h,13.0,Glen Eira,Yes,Not found,Yes,Yes,Not found
212,Bentleigh,4 The Highway,1100000,-37.9187,145.0461,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
213,Bentleigh,4 Leckie St,1327500,-37.9228,145.0476,h,13.0,Glen Eira,Yes,Not found,Yes,Not found,Not found
