,Suburb,Address,Price,Lattitude,Longtitude,Type,Distance,CouncilArea,public_transport.train Name
292,Altona North,2 Gadsden St,728500,-37.8277,144.8385,h,11.1,Hobsons Bay,Not found
293,Altona North,24 Hansen St,931000,-37.8382,144.8649,h,11.1,Hobsons Bay,Yes
294,Altona North,4 Prismall St,988000,-37.8423,144.8632,h,11.1,Hobsons Bay,Yes
296,Altona North,122 McIntosh Rd,590000,-37.8444,144.8491,h,11.1,Hobsons Bay,Not found
297,Altona North,35 May St,610000,-37.834,144.8553,h,11.1,Hobsons Bay,Not found
298,Altona North,6 Hill St,815000,-37.8318,144.8388,h,11.1,Hobsons Bay,Not found
299,Altona North,84 May St,970000,-37.833,144.8494,h,11.1,Hobsons Bay,Not found
302,Altona North,155 Chambers Rd,760000,-37.8262,144.8439,h,11.1,Hobsons Bay,Not found
305,Altona North,5 Cresser St,1200000,-37.8375,144.8541,h,11.1,Hobsons Bay,Not found
307,Altona North,107 McIntosh Rd,700000,-37.8441,144.8505,h,11.1,Hobsons Bay,Not found
308,Altona North,10 Knapp St,625000,-37.8285,144.8351,h,11.1,Hobsons Bay,Not found
486,Ashburton,61 Dent St,2650000,-37.8669,145.0767,h,11.0,Boroondara,Yes
488,Ashburton,69 Albion Rd,1670000,-37.8673,145.0688,h,11.0,Boroondara,Yes
492,Ashburton,51 Victory Bvd,1575000,-37.869,145.0822,h,11.0,Boroondara,Yes
495,Ashburton,3 Dunlop St,1555000,-37.8666,145.0676,h,11.0,Boroondara,Yes
500,Ashburton,16a Nicholas St,1100000,-37.8699,145.0778,h,11.0,Boroondara,Yes
501,Ashburton,5 Nicholas St,1337000,-37.8685,145.0786,h,11.0,Boroondara,Yes
502,Ashburton,115 Ashburn Gr,2950000,-37.8729,145.0788,h,11.0,Boroondara,Yes
503,Ashburton,33 Eleanor St,2215000,-37.8612,145.0858,h,11.0,Boroondara,Yes
505,Ashburton,1/1 Nairn St,1518000,-37.8675,145.0668,h,11.0,Boroondara,Yes
506,Ashburton,9 Gona Ct,1710000,-37.8695,145.084,h,11.0,Boroondara,Yes
507,Ashburton,45 Yuile St,1655000,-37.8599,145.0815,h,11.0,Boroondara,Yes
511,Ashburton,47 Yuile St,1550000,-37.86,145.0817,h,11.0,Boroondara,Yes
513,Ashburton,6a Glen Rd,1662000,-37.8742,145.07,h,11.0,Boroondara,Yes
514,Ashburton,18 Glen Rd,1665000,-37.8737,145.0695,h,11.0,Boroondara,Yes
515,Ashburton,95 Nicholas St,1445000,-37.8745,145.0738,h,11.0,Boroondara,Yes
519,Ashburton,29A Yuile St,3510000,-37.8598,145.0796,h,11.0,Boroondara,Yes
524,Ashburton,4 Baker Pde,1500000,-37.8605,145.0833,h,11.0,Boroondara,Yes
526,Ashburton,15 Comas Gr,2752000,-37.8714,145.073,h,11.0,Boroondara,Yes
528,Ashburton,3 Mustang Ct,1500000,-37.8653,145.0897,h,11.0,Boroondara,Yes
532,Ashburton,63 Dent St,1800000,-37.8669,145.077,h,11.0,Boroondara,Yes
534,Ashburton,4 Vears Rd,1830000,-37.8619,145.0879,h,11.0,Boroondara,Yes
535,Ashburton,14 Lucerne St,1415000,-37.8703,145.0774,h,11.0,Boroondara,Yes
536,Ashburton,5 Pitt St,1440000,-37.872,145.0692,h,11.0,Boroondara,Yes
538,Ashburton,12 Meaden St,1422000,-37.8679,145.0781,h,11.0,Boroondara,Yes
539,Ashburton,48 Nicholas St,1600000,-37.8724,145.0758,h,11.0,Boroondara,Yes
540,Ashburton,5 Taylor St,1860000,-37.8711,145.0746,h,11.0,Boroondara,Yes
542,Ashburton,33 Highgate Gr,1790000,-37.8664,145.0772,h,11.0,Boroondara,Yes
543,Ashburton,9 Pitt St,1950000,-37.8715,145.0688,h,11.0,Boroondara,Yes
544,Ashburton,9 Ward St,1600000,-37.8645,145.0797,h,11.0,Boroondara,Yes
545,Ashburton,159 Ashburn Gr,1320000,-37.8752,145.0754,h,11.0,Boroondara,Yes
546,Ashburton,19 Poulter St,1650000,-37.8636,145.0903,h,11.0,Boroondara,Yes
548,Ashwood,18 Teck St,995000,-37.8693,145.1082,h,12.2,Monash,Yes
549,Ashwood,28 Raymond St,1250000,-37.867,145.1092,h,12.2,Monash,Yes
551,Ashwood,1/53 Winbirra Pde,1200000,-37.8716,145.0999,h,12.2,Monash,Yes
552,Ashwood,18 Montrose St,1075000,-37.8694,145.0944,h,12.2,Monash,Yes
553,Ashwood,4 Scenic Dr,1500000,-37.8647,145.1023,h,12.2,Monash,Yes
554,Ashwood,8 Rocklands Rd,1120000,-37.8642,145.1109,h,12.2,Monash,Yes
556,Ashwood,1/136 High Street Rd,761000,-37.8675,145.106,h,12.2,Monash,Yes
557,Ashwood,10 Maroondah Rd,1270000,-37.8651,145.1109,h,12.2,Monash,Yes
558,Ashwood,4 Peppermint Ct,1510000,-37.8661,145.1013,h,12.2,Monash,Yes
559,Ashwood,35 Douglas St,1365000,-37.864,145.0972,h,12.2,Monash,Yes
560,Ashwood,95 Huntingdale Rd,1100000,-37.8621,145.1126,h,12.2,Monash,Yes
564,Ashwood,8 Maroondah Rd,1415000,-37.8651,145.1107,h,12.2,Monash,Yes
566,Ashwood,58 Ashwood Dr,1631000,-37.8621,145.1021,h,12.2,Monash,Yes
567,Ashwood,3 Harold St,1500000,-37.8655,145.096,h,12.2,Monash,Yes
569,Ashwood,9 Katta Ct,1060000,-37.8707,145.1036,h,12.2,Monash,Yes
571,Ashwood,16 Scenic Dr,1529500,-37.8637,145.1024,h,12.2,Monash,Yes
578,Ashwood,147 Huntingdale Rd,785000,-37.8671,145.1117,h,12.2,Monash,Yes
579,Ashwood,17 Parkhill Dr,1240000,-37.8629,145.1097,h,12.2,Monash,Yes
583,Ashwood,12 Leonard St,1350000,-37.8669,145.1106,h,12.2,Monash,Yes
584,Ashwood,4 Teck St,1110000,-37.8683,145.1082,h,12.2,Monash,Yes
585,Ashwood,14 Ashwood Dr,1305000,-37.858,145.1038,h,12.2,Monash,Yes
586,Ashwood,1/2 Condah Ct,855000,-37.87,145.1103,h,12.2,Monash,Yes
591,Ashwood,4 Newbury Ct,1200000,-37.8614,145.1098,h,12.2,Monash,Yes
594,Avondale Heights,8 Norma Ct,850000,-37.7677,144.8674,h,10.5,Moonee Valley,Not found
595,Avondale Heights,9 Rogerson St,750000,-37.7634,144.8611,h,10.5,Moonee Valley,Not found
597,Avondale Heights,105 Canning St,848000,-37.7706,144.8629,h,10.5,Moonee Valley,Not found
598,Avondale Heights,36 Wood St,806000,-37.7676,144.859,h,10.5,Moonee Valley,Not found
599,Avondale Heights,2 Arbor Tce,1155000,-37.7654,144.8655,h,10.5,Moonee Valley,Not found
600,Avondale Heights,3 Karen Ct,670000,-37.7593,144.871,h,10.5,Moonee Valley,Not found
601,Avondale Heights,6 Lovett Dr,1200000,-37.7545,144.8736,h,10.5,Moonee Valley,Not found
602,Avondale Heights,12 Skewes St,636000,-37.7605,144.8581,h,10.5,Moonee Valley,Not found
604,Avondale Heights,68 Thompson St,680000,-37.7591,144.8542,h,10.5,Moonee Valley,Not found
605,Avondale Heights,14 Lovett Dr,1160000,-37.7537,144.8729,h,10.5,Moonee Valley,Not found
607,Avondale Heights,31 Duke St,750000,-37.7721,144.8576,h,10.5,Moonee Valley,Not found
608,Avondale Heights,97 Military Rd,627500,-37.7632,144.8622,h,10.5,Moonee Valley,Not found
612,Avondale Heights,3 Clive Ct,950000,-37.7524,144.8714,h,10.5,Moonee Valley,Not found
614,Avondale Heights,22 Warrick Ct,1600000,-37.7532,144.8766,h,10.5,Moonee Valley,Not found
618,Avondale Heights,7 Monmouth St,650000,-37.7627,144.857,h,10.5,Moonee Valley,Not found
619,Avondale Heights,15 River Dr,725000,-37.752,144.854,h,10.5,Moonee Valley,Not found
621,Avondale Heights,40a Herbert St,560500,-37.7664,144.8583,h,10.5,Moonee Valley,Not found
622,Avondale Heights,185 Military Rd,615000,-37.758,144.86,h,10.5,Moonee Valley,Not found
623,Avondale Heights,33 Wood St,845000,-37.7681,144.8592,h,10.5,Moonee Valley,Not found
624,Avondale Heights,14 Herbert St,585000,-37.7686,144.8576,h,10.5,Moonee Valley,Not found
626,Avondale Heights,9 Willow Dr,850000,-37.7522,144.8518,h,10.5,Moonee Valley,Not found
628,Avondale Heights,8 Westminster Dr,850000,-37.7639,144.8615,h,10.5,Moonee Valley,Not found
629,Avondale Heights,8 Herbert St,705000,-37.7691,144.8575,h,10.5,Moonee Valley,Not found
630,Avondale Heights,2 Hillman Ct,1100000,-37.7609,144.8639,h,10.5,Moonee Valley,Not found
632,Avondale Heights,20 Westminster Dr,892500,-37.7642,144.8603,h,10.5,Moonee Valley,Not found
635,Avondale Heights,8 Moffat St,695000,-37.771,144.8586,h,10.5,Moonee Valley,Not found
637,Avondale Heights,1/24 Bordeaux St,522500,-37.756,144.8641,h,10.5,Moonee Valley,Not found
639,Avondale Heights,72 Military Rd,680000,-37.7649,144.8633,h,10.5,Moonee Valley,Not found
642,Avondale Heights,19 Clarendon St,730000,-37.766,144.8596,h,10.5,Moonee Valley,Not found
643,Avondale Heights,2 Drake Ct,875000,-37.765,144.8578,h,10.5,Moonee Valley,Not found
644,Avondale Heights,11 South Tce,850000,-37.751,144.8571,h,10.5,Moonee Valley,Not found
645,Avondale Heights,61 Doyle St,635000,-37.7568,144.8572,h,10.5,Moonee Valley,Not found
646,Avondale Heights,109 North Rd,762000,-37.7573,144.8534,h,10.5,Moonee Valley,Not found
652,Avondale Heights,10 Intervale Dr,790000,-37.7513,144.859,h,10.5,Moonee Valley,Not found
653,Avondale Heights,328 Milleara Rd,605000,-37.7563,144.8601,h,10.5,Moonee Valley,Not found
654,Avondale Heights,10 Skewes St,805000,-37.7607,144.8581,h,10.5,Moonee Valley,Not found
655,Avondale Heights,62 Skewes St,890000,-37.757,144.8566,h,10.5,Moonee Valley,Not found
656,Avondale Heights,49 Rogerson St,795000,-37.7644,144.8575,h,10.5,Moonee Valley,Not found
657,Avondale Heights,43 Skewes St,634000,-37.7584,144.8568,h,10.5,Moonee Valley,Not found
658,Avondale Heights,63 Doyle St,642000,-37.7567,144.8572,h,10.5,Moonee Valley,Not found
660,Avondale Heights,235 Military Rd,863000,-37.7546,144.8585,h,10.5,Moonee Valley,Not found
661,Avondale Heights,57 North Rd,740000,-37.7546,144.857,h,10.5,Moonee Valley,Not found
928,Bentleigh,22 Hobart St,1275000,-37.925,145.046,h,13.0,Glen Eira,Yes
933,Bentleigh,32 Leckie St,1550000,-37.9207,145.0479,h,13.0,Glen Eira,Yes
934,Bentleigh,7 Marquis Rd,1420000,-37.9305,145.0449,h,13.0,Glen Eira,Yes
935,Bentleigh,11 Rogers Rd,1425000,-37.9311,145.0428,h,13.0,Glen Eira,Yes
937,Bentleigh,11A Mortimore St,1222500,-37.9272,145.0406,h,13.0,Glen Eira,Yes
940,Bentleigh,127 Tucker Rd,1260000,-37.9232,145.0502,h,13.0,Glen Eira,Yes
942,Bentleigh,37 Godfrey St,2700000,-37.9155,145.0401,h,13.0,Glen Eira,Yes
944,Bentleigh,15 Miles St,1100000,-37.922,145.0302,h,13.0,Glen Eira,Yes
945,Bentleigh,143 Patterson Rd,1005000,-37.9269,145.047,h,13.0,Glen Eira,Yes
946,Bentleigh,13 Somers St,1317500,-37.9149,145.0254,h,13.0,Glen Eira,Yes
949,Bentleigh,156 Patterson Rd,1110000,-37.9263,145.04,h,13.0,Glen Eira,Yes
950,Bentleigh,8 Rose St,2435000,-37.9166,145.0314,h,13.0,Glen Eira,Yes
953,Bentleigh,23 Yawla St,1500000,-37.9134,145.0263,h,13.0,Glen Eira,Yes
954,Bentleigh,39 Luckins Rd,1300000,-37.9318,145.0474,h,13.0,Glen Eira,Yes
955,Bentleigh,1/19 Patterson Rd,855000,-37.9247,145.0287,h,13.0,Glen Eira,Yes
956,Bentleigh,592 Centre Rd,1125000,-37.9199,145.0477,h,13.0,Glen Eira,Yes
958,Bentleigh,32 Luckins Rd,1135000,-37.9321,145.0472,h,13.0,Glen Eira,Yes
959,Bentleigh,575 South Rd,867000,-37.9344,145.0481,h,13.0,Glen Eira,Yes
960,Bentleigh,74 Fromer St,1328000,-37.9291,145.0472,h,13.0,Glen Eira,Yes
961,Bentleigh,4 Gordon St,1340000,-37.9279,145.031,h,13.0,Glen Eira,Yes
964,Bentleigh,182 Patterson Rd,1275000,-37.9267,145.043,h,13.0,Glen Eira,Yes
965,Bentleigh,548 Centre Rd,770000,-37.9193,145.0438,h,13.0,Glen Eira,Yes
966,Bentleigh,1/30 Daley St,855000,-37.9243,145.0376,h,13.0,Glen Eira,Yes
969,Bentleigh,112 Tucker Rd,1815000,-37.924,145.0504,h,13.0,Glen Eira,Yes
970,Bentleigh,9 Yawla St,2255000,-37.9132,145.0251,h,13.0,Glen Eira,Yes
971,Bentleigh,66 Fromer St,1470000,-37.929,145.0464,h,13.0,Glen Eira,Yes
976,Bentleigh,11 Somers St,1450000,-37.9149,145.0252,h,13.0,Glen Eira,Yes
977,Bentleigh,103 Tucker Rd,1200000,-37.9256,145.0497,h,13.0,Glen Eira,Yes
978,Bentleigh,11 Wheatley Rd,1860000,-37.9163,145.0324,h,13.0,Glen Eira,Yes
981,Bentleigh,6 Atkinson St,1293000,-37.9282,145.0367,h,13.0,Glen Eira,Yes
983,Bentleigh,38 Leckie St,1390000,-37.9203,145.048,h,13.0,Glen Eira,Yes
984,Bentleigh,15 Luckins Rd,1400000,-37.9316,145.0454,h,13.0,Glen Eira,Yes
985,Bentleigh,33 Luckins Rd,1328000,-37.9317,145.0469,h,13.0,Glen Eira,Yes
987,Bentleigh,14 Sandra Gr,1311000,-37.933,145.0466,h,13.0,Glen Eira,Yes
988,Bentleigh,4 The Highway,1100000,-37.9187,145.0461,h,13.0,Glen Eira,Yes
989,Bentleigh,4 Leckie St,1327500,-37.9228,145.0476,h,13.0,Glen Eira,Yes
992,Bentleigh,43 Wavell St,1560000,-37.9149,145.0469,h,13.0,Glen Eira,Yes
993,Bentleigh,4 Daley St,1370000,-37.9256,145.0374,h,13.0,Glen Eira,Yes
994,Bentleigh,145a Jasper Rd,1100000,-37.921,145.0411,h,13.0,Glen Eira,Yes
996,Bentleigh,15 Wilson St,1385000,-37.9152,145.0244,h,13.0,Glen Eira,Yes
998,Bentleigh,64 Tucker Rd,1095000,-37.9286,145.0495,h,13.0,Glen Eira,Yes
1005,Bentleigh,19 Godfrey St,1600000,-37.9168,145.04,h,13.0,Glen Eira,Yes
1006,Bentleigh,5 Luckins Rd,1165000,-37.9315,145.0445,h,13.0,Glen Eira,Yes
1007,Bentleigh,147 Tucker Rd,1355000,-37.9215,145.0505,h,13.0,Glen Eira,Yes
1008,Bentleigh,13 Wood St,1910000,-37.9224,145.0462,h,13.0,Glen Eira,Yes
1010,Bentleigh,25 Mitchell St,1448000,-37.9246,145.0383,h,13.0,Glen Eira,Yes
1015,Bentleigh,2 Marquis Rd,895000,-37.9307,145.0444,h,13.0,Glen Eira,Yes
1016,Bentleigh,3 Somers St,1041000,-37.9148,145.0243,h,13.0,Glen Eira,Yes
1017,Bentleigh,81 Fromer St,1430000,-37.9289,145.0481,h,13.0,Glen Eira,Yes
1018,Bentleigh,13 Horsley St,910000,-37.9178,145.0413,h,13.0,Glen Eira,Yes
1019,Bentleigh,11 Wilson St,2520000,-37.9155,145.0243,h,13.0,Glen Eira,Yes
1021,Bentleigh,68 Mortimore St,1350000,-37.9282,145.047,h,13.0,Glen Eira,Yes
1023,Bentleigh,21 Charlton St,1280000,-37.9217,145.0315,h,13.0,Glen Eira,Yes
1024,Bentleigh,43 Godfrey St,1900000,-37.9144,145.0401,h,13.0,Glen Eira,Yes
1025,Bentleigh,7 Whitmuir Rd,1230000,-37.9161,145.0284,h,13.0,Glen Eira,Yes
1026,Bentleigh,20 Wright St,1150000,-37.9155,145.0301,h,13.0,Glen Eira,Yes
1031,Bentleigh,48 Vickery St,1650000,-37.9139,145.0395,h,13.0,Glen Eira,Yes
1040,Bentleigh,99 Patterson Rd,1380000,-37.9263,145.0422,h,13.0,Glen Eira,Yes
1041,Bentleigh,17 Smith St,1900000,-37.9181,145.044,h,13.0,Glen Eira,Yes
1042,Bentleigh,21 Bruce St,1535000,-37.9148,145.0404,h,13.0,Glen Eira,Yes
1044,Bentleigh,72 Daley St,1281000,-37.9206,145.0383,h,13.0,Glen Eira,Yes
1046,Bentleigh,22 Hutchinson St,1385000,-37.9241,145.048,h,13.0,Glen Eira,Yes
1051,Bentleigh,11 Wilson St,2620000,-37.9155,145.0243,h,13.0,Glen Eira,Yes
1054,Bentleigh East,18 Mervin St,1410000,-37.9305,145.0547,h,13.9,Glen Eira,Yes
1058,Bentleigh East,30 Veronica St,825000,-37.9237,145.0763,h,13.9,Glen Eira,Not found
1063,Bentleigh East,19 Denver St,1275000,-37.9333,145.0602,h,13.9,Glen Eira,Not found
1066,Bentleigh East,93 Parkmore Rd,1206000,-37.9155,145.0723,h,13.9,Glen Eira,Not found
1070,Bentleigh East,76 Castlewood St,1190000,-37.9166,145.0719,h,13.9,Glen Eira,Not found
1071,Bentleigh East,38 Edinburgh St,1270000,-37.9174,145.0717,h,13.9,Glen Eira,Not found
1075,Bentleigh East,27 Neville St,1960000,-37.9234,145.0533,h,13.9,Glen Eira,Yes
1080,Bentleigh East,24 Brooks St,1220000,-37.9167,145.0771,h,13.9,Glen Eira,Not found
1081,Bentleigh East,13 Claronga St,885000,-37.9262,145.0808,h,13.9,Glen Eira,Not found
1083,Bentleigh East,49 Gowrie St,1137500,-37.9157,145.0802,h,13.9,Glen Eira,Yes
1084,Bentleigh East,1 Konrad St,1100000,-37.9272,145.0644,h,13.9,Glen Eira,Not found
1086,Bentleigh East,19 Kurrajong St,1040000,-37.9132,145.0782,h,13.9,Glen Eira,Yes
1090,Bentleigh East,24 Barrani St,1215000,-37.9119,145.0705,h,13.9,Glen Eira,Not found
1091,Bentleigh East,71 Bignell Rd,1200000,-37.9358,145.0688,h,13.9,Glen Eira,Not found
1092,Bentleigh East,96 Brady Rd,1050000,-37.9284,145.0668,h,13.9,Glen Eira,Not found
1093,Bentleigh East,25 Connie St,950000,-37.9209,145.0757,h,13.9,Glen Eira,Not found
1095,Bentleigh East,3/32 Elizabeth St,689000,-37.9232,145.0537,h,13.9,Glen Eira,Yes
1096,Bentleigh East,33 Molden St,1400000,-37.9069,145.0568,h,13.9,Glen Eira,Yes
1097,Bentleigh East,20 Normdale Rd,965000,-37.9309,145.0685,h,13.9,Glen Eira,Not found
1098,Bentleigh East,38 Northam Rd,1338000,-37.9231,145.066,h,13.9,Glen Eira,Not found
1102,Bentleigh East,12 Rudyard St,920000,-37.9272,145.0804,h,13.9,Glen Eira,Not found
1103,Bentleigh East,3 Veronica St,1390000,-37.9256,145.0757,h,13.9,Glen Eira,Not found
1110,Bentleigh East,4 Tambet St,1100000,-37.9186,145.0709,h,13.9,Glen Eira,Not found
1111,Bentleigh East,109 Victor Rd,1100000,-37.9244,145.0792,h,13.9,Glen Eira,Not found
1112,Bentleigh East,7 Wallace St,1355000,-37.9241,145.0539,h,13.9,Glen Eira,Yes
1113,Bentleigh East,21 Wards Gr,1206000,-37.925,145.0612,h,13.9,Glen Eira,Not found
1115,Bentleigh East,26 Boronia St,1010000,-37.9126,145.0776,h,13.9,Glen Eira,Yes
1118,Bentleigh East,16 Leigh St,899000,-37.9312,145.0795,h,13.9,Glen Eira,Not found
1120,Bentleigh East,87 Parkmore Rd,1415000,-37.9153,145.0707,h,13.9,Glen Eira,Not found
1125,Bentleigh East,18 May St,1550000,-37.9177,145.0535,h,13.9,Glen Eira,Yes
1127,Bentleigh East,1098 North Rd,840000,-37.9092,145.0813,h,13.9,Glen Eira,Yes
1128,Bentleigh East,106 Parkmore Rd,1110000,-37.9159,145.0733,h,13.9,Glen Eira,Not found
1130,Bentleigh East,8 Tambet St,1106000,-37.9183,145.071,h,13.9,Glen Eira,Not found
1135,Bentleigh East,41 Bradford St,845000,-37.9239,145.0781,h,13.9,Glen Eira,Not found
1137,Bentleigh East,40 Kennedy St,1208000,-37.9198,145.0791,h,13.9,Glen Eira,Not found
1140,Bentleigh East,13 Norville St,1165000,-37.9334,145.0667,h,13.9,Glen Eira,Not found
1141,Bentleigh East,37 Orange St,1270000,-37.9174,145.0779,h,13.9,Glen Eira,Not found
1143,Bentleigh East,1/112 Tambet St,742500,-37.9099,145.0726,h,13.9,Glen Eira,Yes
1144,Bentleigh East,25 Thornton St,920000,-37.9303,145.0805,h,13.9,Glen Eira,Not found
1147,Bentleigh East,53 Purtell St,1307000,-37.926,145.0551,h,13.9,Glen Eira,Yes
1148,Bentleigh East,33 Schulz St,1010000,-37.9343,145.0607,h,13.9,Glen Eira,Not found
1149,Bentleigh East,12 Tambet St,702000,-37.9179,145.071,h,13.9,Glen Eira,Not found
